Region/Country code,Region/Country name,Local authority code ,Local authority name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E12000001,North East,E06000001,Hartlepool,"36,500",38750,41419.25,43175,45925,47750,46725,51737,55093.25,54800,60125,84000,98750,109868.75,102125,110250,106868.75,102875,114187,116987.5,123781.25,120675,122787.5,124500,127850,129243.75,129666.6667
E12000001,North East,E06000002,Middlesbrough,"40,000",42375,44375,43128.25,45087.5,45125,44500,47145.75,45750,60112.5,75875,96544.25,105500,102499.75,106500,107937.5,103625,104138.25,107000,118250,125425,129750,128000,130500,134355,134243.75,133166.6667
E12000001,North East,E06000003,Redcar and Cleveland,"43,000",43390.75,44498.75,45737.5,45443.75,48500,51393.25,55787.5,66975,83625,99375,112375,122125,120125,116237.5,119305.75,112500,114004.25,116687.5,121600,125623.75,129248.75,130000,131750,130748.75,133618.25,140000
E12000001,North East,E06000004,Stockton-on-Tees,"45,250",46987.5,49350,49736.25,52093.75,54812.5,57861.25,64000,77625,97375,114000,122196.25,131490.75,132075.25,128187.5,129687.5,125499.5,124987.5,127685,131987.5,134625,135625,142112.5,145000,147612.5,150612.5,153375
E12000001,North East,E06000005,Darlington,"44,000",43612.5,46537.5,49855.75,50156.25,51691.5,54748.75,58237.5,68748.75,92500,110237.5,113372.5,119374.5,123737.5,121187,125000,122487.5,120250,119480.75,123487.5,130500,133187.5,135661.25,139498.75,141736.25,145687.5,149316.6667
E12000001,North East,E06000047,County Durham,"39,000",39862.5,41625,43000,45250,47750,47375,50112.5,58687.5,76987.5,93017.5,103498.75,107623.75,108487.5,104250,108997.5,102111.25,100000,104487.5,108500,110000,110743.75,114050,116248.75,119875,120625,124333.3333
E12000001,North East,E06000057,Northumberland,"47,500",48218.75,51925,53625,56862.5,59637.5,61487.5,68362.5,82212.5,103375,120000,129468.75,137987.5,142000,137125,143237.5,139256.5,136000,137937.5,144612.5,153062.5,156375,159987.5,163112.5,168249.5,169362.5,183133.3333
E12000001,North East,E08000021,Newcastle upon Tyne,"45,500",46500,48500,51531.25,55200,58625,62000,73375,93000,121781.25,127375,137000,143787,143749.5,137875,139125,136237.5,131750,136125,140750,147552.5,154875,156806.25,159123.75,162997.75,165500,183000
E12000001,North East,E08000022,North Tyneside,"45,859",45987.5,49525,52483.25,54737.5,55987.5,56997.5,61000,79000,105181.25,120562.5,125500,131362.5,131062.5,130000,138987.5,134891.75,132750,136778.75,142375,152625,154375,164000,168850,171750,172125,178666.6667
E12000001,North East,E08000023,South Tyneside,"40,000",41625,44306.25,44950,46475,47650,48612.5,50618.75,61775,82987.5,95762.5,105000,114875,114498.75,112237.5,116312.5,111430.75,104750,112916.5,119735,129128.5,130962.5,133125,136249.5,135875,136500,145000
E12000001,North East,E08000024,Sunderland,"38,500",39612.5,43237.5,44862.5,45875,47350,46500,54850,65768.75,84468.75,97123.75,104811.25,111250,112102.75,106687.5,108181.25,107750,106975.5,110750,114625,118750,120000,123748.75,126875,129902.75,126625,131333.3333
E12000001,North East,E08000037,Gateshead,"40,000",40350,42000,43650,45000,46087.5,50743.75,58987.5,72125,91112.5,103112.5,113250,117873.75,119237.5,119015.75,120000,118112.5,116625,123417.5,124725,128743.75,129375,130125,136487.5,139112.5,141162.5,148666.6667
E12000002,North West,E06000006,Halton,"44,500",44000,48000,48375,49012.5,53381.25,54737.5,59987.5,75937.5,92125,109987.5,114750,116625,118375,116250,121987.5,114562,114550,119750,124611.25,125750,132300,137375,139737.5,146000,150875,161658.3333
E12000002,North West,E06000007,Warrington,"54,000",53681.25,55975,58625,59925,64962.5,73206.25,84206.25,102487.5,125425,139487.5,140000,149987.5,147736.25,141000,148250,148749.5,148248.75,150000,155375,162237.5,166986.25,175681.25,181125,188750,198737.5,221833.3333
E12000002,North West,E06000008,Blackburn with Darwen,"34,000",33361.25,33550,34487.5,37987.5,40050,39918.75,42625,48737.5,63250,76493.75,85737.5,95750,103250,100062.5,96612.5,93125,96750,97224.5,100048.75,103500,102250,108218.75,118375,121250,123875,131333.3333
E12000002,North West,E06000009,Blackpool,"40,000",39987.5,40612.5,42625,43925,45625,47875,53737.5,65962.5,84750,101500,112250,117187.5,117000,104375,105000,100000,95466.25,93375,98750,100750,104625,110812.5,111500,112625,118019,120833.3333
