AREANM,AREACD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hartlepool,E06000001,8398,8439,8944,9361,9695,10028,10167,10412,10947,11520,11880,12260,12686,13059,13411,13858,13944,14393,14849,14919,15195,15527,15962
Stockton-on-Tees,E06000004,9756,9637,10131,10647,11056,11385,11699,12321,12783,13146,13460,13761,14165,14393,14809,15219,15287,15761,16147,16303,16594,17070,17519
Middlesbrough,E06000002,8654,8298,8847,9347,9757,9800,9959,10420,10860,11333,11471,11745,12501,12573,12859,13630,13788,14353,14792,14753,14929,15464,15835
Redcar and Cleveland,E06000003,9363,9067,9477,10178,10604,10698,10929,11330,11735,12171,12399,12648,13246,13377,13665,14467,14678,15247,15651,15705,15895,16424,16882
Darlington,E06000005,9638,9516,9722,10611,11397,11490,11785,12108,12359,12556,13210,13217,13824,13879,13799,14374,14810,15016,15704,16276,16925,17306,17391
County Durham,E06000047,9254,9429,9831,10396,10741,10907,11098,11674,11934,12265,12544,12788,13185,13603,13758,14209,14522,14926,15496,15549,15798,16315,16617
Northumberland,E06000057,10299,10405,10954,11704,12103,12336,12864,13282,13568,14370,14712,15602,16514,16511,16673,17273,17705,18000,18699,19047,19374,19846,20216
Newcastle upon Tyne,E08000021,9209,9498,9711,10364,10853,11162,11509,11982,11911,12312,12629,12832,13266,13573,13680,14288,14382,14667,15290,15320,15426,16057,16473
North Tyneside,E08000022,10248,10467,10604,11122,11411,11666,11970,12666,12691,13027,13417,13529,14050,14430,14604,15332,15593,15977,16778,16848,17140,17703,18246
South Tyneside,E08000023,8435,8552,8676,9149,9487,9637,9980,10559,10773,11181,11626,11802,12408,12784,12978,13658,13950,14310,14999,15046,15218,15766,15915
Gateshead,E08000037,8953,9192,9324,9890,10403,10676,10930,11399,11564,11884,12228,12369,12973,13267,13466,14171,14538,14740,15367,15387,15652,16033,16477
Sunderland,E08000024,8549,8496,8961,9619,9933,10234,10481,10828,11272,11598,12045,12221,12603,12944,13255,13840,14214,14323,14771,15156,15481,15669,16011
Allerdale,E07000026,9790,10154,10465,11286,11826,11668,12209,12834,13301,13817,14687,14874,15144,15614,15757,16643,16906,17316,18084,18129,18448,18661,18968
Barrow-in-Furness,E07000027,7929,8296,8466,9025,9544,9740,10091,10572,10856,11482,12286,12571,13229,13608,13911,14786,15120,15493,16348,16606,16926,17451,17990
Copeland,E07000029,9080,9433,9770,10444,10966,10976,11411,12080,12311,12876,13733,13965,14455,14942,15193,16018,16338,16750,17695,17891,18224,18716,18788
Carlisle,E07000028,8962,9304,9767,9954,10676,10987,11532,11774,12270,12738,12877,13017,14359,14743,14804,15463,16282,16530,17193,17234,17698,18311,19110
Eden,E07000030,11395,11819,12041,12229,12873,13403,14093,14750,15333,15768,16082,16380,16937,17477,17467,17988,18777,19244,20174,20109,20380,21782,22097
South Lakeland,E07000031,12595,13062,13389,13759,14757,15245,15909,16578,17206,17672,18427,18916,19115,19783,19780,20635,21120,21860,22817,22807,23108,23443,23990
Manchester,E08000003,7153,7450,8122,8553,8885,9310,9381,9636,10064,10355,10686,10892,11363,11466,11699,11996,12424,12724,13444,13549,14170,14930,15322
Salford,E08000006,10009,10202,10759,11284,11418,11698,12043,12459,12881,13244,13616,13773,14236,14214,14367,14809,15044,15255,16364,16369,16561,17377,17524
