Code,Housing,Stars,Restaurants,Population,Income,Name,weighted,Color,Predicted_Stars
S12000042,124246.4128,,,149320,16597,Dundee City,100083.58896,"(0, 17, 238)",0.0
S12000006,128048.1654,,,148860,18806,Dumfries and Galloway,104286.51578,"(0, 20, 235)",0.0
S12000017,166906.5695,1.0,['Loch Bay'],235830,20049,Highland,133227.19865,"(0, 37, 218)",0.0
S12000026,149505.3899,,,115510,20421,Scottish Borders,120103.57293,"(0, 29, 226)",0.0
S12000034,184319.0942,,,261210,22853,Aberdeenshire,147632.56594,"(0, 45, 210)",0.0
S12000036,265678.8472,3.0,"['Martin Wishart', 'Kitchin', 'Condita']",524930,23580,City of Edinburgh,207730.49304,"(0, 81, 174)",2.0
S12000038,122347.3043,,,179100,19259,Renfrewshire,100915.41301,"(0, 18, 237)",0.0
S12000039,105342.1416,,,88930,17937,West Dunbartonshire,87184.69911999999,"(0, 10, 245)",0.0
S12000040,162681.1001,,,183100,18694,West Lothian,128793.57007,"(0, 34, 221)",0.0
S12000041,145718.0434,,,116200,19818,Angus,117037.23038,"(0, 27, 228)",0.0
S12000045,212444.2656,,,108640,24004,East Dunbartonshire,166600.18592000002,"(0, 56, 199)",0.0
S12000005,129617.0978,,,51540,18560,Clackmannanshire,104239.36846,"(0, 20, 235)",0.0
S12000008,95794.33876,,,122010,17306,East Ayrshire,80390.337132,"(0, 6, 249)",0.0
S12000011,228558.197,,,95530,23685,East Renfrewshire,177525.53789999997,"(0, 63, 192)",0.0
S12000013,119493.4267,,,26720,19318,Na h-Eileanan Siar,97435.19869,"(0, 16, 239)",0.0
S12000014,125046.4549,,,160890,18793,Falkirk,102296.51843,"(0, 19, 236)",0.0
S12000047,133617.4821,,,373550,18518,Fife,110230.33747,"(0, 23, 232)",0.0
S12000018,103201.0667,,,77800,17982,Inverclyde,85606.14668999998,"(0, 9, 246)",0.0
S12000019,186633.4985,,,92460,21094,Midlothian,146333.84895,"(0, 45, 210)",0.0
S12000020,150944.1292,,,95820,19319,Moray,120142.39044,"(0, 29, 226)",0.0
S12000021,107161.9331,,,134740,17473,North Ayrshire,88591.85316999999,"(0, 11, 244)",0.0
S12000023,152014.0309,,,22270,19831,Orkney Islands,120514.22163,"(0, 29, 226)",0.0
S12000048,192607.311,,,151950,21504,Perth and Kinross,151397.41769999996,"(0, 48, 207)",0.0
S12000027,158725.5285,,,22920,20960,Shetland Islands,126009.06994999998,"(0, 33, 222)",0.0
S12000028,132771.1767,,,112610,19428,South Ayrshire,107665.52369,"(0, 22, 233)",0.0
S12000029,128473.2539,,,320530,19360,South Lanarkshire,106688.57773,"(0, 21, 234)",0.0
