rating,year,img,name,link,location,type,lat,lng
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/3fd58d735278423daece4ad03c9bf92c?width=500&amp;sharp=1,The Neptune,https://guide.michelin.com//en/norfolk/hunstanton/restaurant/the-neptune,Hunstanton,Modern Cuisine,52.9511554,0.5092639
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/f3b46c5d5f1f4394bd577c8a82c4ad3b?width=500&amp;sharp=1,Sosban & The Old Butchers,https://guide.michelin.com//en/isle-of-anglesey/menai-bridge/restaurant/sosban-the-old-butchers,Menai Bridge,Modern Cuisine,53.2260376,-4.1629618
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/7d69712b1b404234b8125e108b0b56c3?width=500&amp;sharp=1,The Cellar,https://guide.michelin.com//en/fife/anstruther/restaurant/the-cellar,Anstruther,"Modern Cuisine, Modern Cuisine",56.2220468,-2.695993
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/21f1eba67cb1489ca2feae88e9306506?width=500&amp;sharp=1,Lympstone Manor,https://guide.michelin.com//en/devon/lympstone/restaurant/lympstone-manor,Lympstone,Modern Cuisine,50.6402845,-3.4181281
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/d69bc05400ce49f3833d8e34e9910476?width=500&amp;sharp=1,The Whitebrook,https://guide.michelin.com//en/monmouthshire/whitebrook/restaurant/the-whitebrook,Whitebrook,Creative British,51.759697,-2.686909
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/792715de9a3d4f9a84551c0212a1f90f?width=500&amp;sharp=1,Restaurant Tristan,https://guide.michelin.com//en/west-sussex/horsham/restaurant/restaurant-tristan,Horsham,Modern British,51.0617389,-0.3268238
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/857daa7f4070471792f729f60577b796?width=500&amp;sharp=1,Interlude,https://guide.michelin.com//en/west-sussex/lower-beeding/restaurant/interlude,Lower Beeding,Creative,51.0201898,-0.2606582
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/91c3fedcf72c46ecb9ae9552e3a15859?width=500&amp;sharp=1,Tony Parkin at The Tudor Room,https://guide.michelin.com//en/surrey/egham/restaurant/tudor-room,Egham,Modern Cuisine,51.4171003,-0.5441757
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/a6131ea24e6240dcb371e17d7bd6df4a?width=500&amp;sharp=1,Bridge Arms,https://guide.michelin.com//en/kent/bridge/restaurant/bridge-arms,Bridge,Modern British,51.2462247,1.1253358
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/7a2ff9b3d74b49d6a7dedeba81a73978?width=500&amp;sharp=1,Clock House,https://guide.michelin.com//en/surrey/ripley/restaurant/clock-house,Ripley,Modern Cuisine,51.3003436,-0.4926149
